address,value
0x70bd1ee723a163b654011163e2a372dff82cce79,54
0x76b849d7c7ad2803ca81fca5f0ca539063bb22bd,22
0xc614a4c2fe9f999f85d1c316d6af556457db7dc4,18
0x2e7735adb640c4a1f6c72657c66fbd892d487d5d,17
0x899ab2ae724f308d914a144298dd2d018587536c,17
0x0bbaf4af7344754ca26b5def315756744f5d9e8b,13
0x3761d2ce30479642f442783a217a325628a099b6,9
0xf705cb1501d04462ab7ff142f1f0ad198175725e,5
0x607d2381afecbd80c4ad5cce8059205c2a297966,4
0x3b17edca12b0b72145412d86d08e8366291c59cf,4
0x063b41a093b9f458ba83dd4b976b196fea0dd98c,3
0x63e414f556e29c97b37c69c0458d564d4bedc4af,2
0x4f5f4dc0e7c0c90ebc2c9cb434617d2d0595bfe6,2
0x92f5ed8720de275019929e4af2f15171f875c717,2
0xaadb66fee1a106cef8171f23602665c08ddd2854,2
0xf86d7b3971f5e58d0eb8e0a0a5bacc857e7fabe7,2
0x7b4b7036941046c6783a5212560ab00b46b95739,2
0x7dd98d73d7c7041e7e5e666fde72964b634dc00d,2
0xda126ed868e292a3759cfff1a7a0ea8a64df3dfa,2
0xb24fbf6c7036ae05a9cce730f1f3154a89f7a0b3,2
0x88f82c9d4ef9b839199d17ad1ae131a459d227b1,1
0x60434547f5970e6cb8b64501595a98141c17e4c3,1
0x8be68fd8316056dd21426222f86bc295a24b0c37,1
0x0170168b95fe16b03a38b485af06833ca601f7fb,1
0x1f6315c7152f9aeccd4a160c5accabf16da011fa,1
0xdcef59ccd7e6fbf1474f44d4ce98846f47eae330,1
0x600ea6701d891c0290ca2dd0bd4a0d10673aa9c1,1
0x6e46ae777bd1c9997a3e5e7741d0a897d99bf798,1
0x446345e00eeb54b4489de4a55a20f38799823968,1
0xfd61cef0879dafb9ebfabe59b8e25d221821c722,1
0x0482b7c6ea6d9d8879730981057612985956413c,1
0x93281043372113e25fdf952bcb32c2d9e784b41f,1
0x963b95fa539d21e511403ca9778372eb55184040,1
0x3de58ccfea4e3242beead5aea5acdd06c5e52929,1
0x8a82e0bbfa749f3ce0eee92560bddec563f3c2df,1
0x0ddd9dd9b77d3ba97b2496e3590787def887a95b,1
0xd8d667922f74ad57c504f030ebe2d7dc5d889b80,1
0x63c00e100875ace13b774e15d355e8994355ccee,1
0xcbbb1e9e4dfeee1dc9eefa46d979fe377360caf7,1
0xca0bfc3b1e1e8ea3694413d7a8f0d34aa9b3aac8,1
0xfb671e4e320c267a7c5f10b20cdc5ab857da4740,1
0xe5b0f31b041e7730c3f8aef407b0b4c0633ee4ee,1
0xaec405274c1adb1bdde9d50e015320dd7a12eb09,1
0xad7c775959ec22b1969795e863b8812c256c8987,1
0xa3514bde163651cf569074323534c821e68d0916,1
0x96be56e7c41e2e1f13fcc5b429091e3dbe0c1c5b,1
